publisher,country,organization,annual_publications,start_date,end_date,id,url
Association for Computing Machinery,"Albania, Armenia, Azerbaijan, Congo, Ethiopia, Georgia, Ivory Coast, Kenya, Kosovo, Kyrgyzstan, Laos, Lesotho, Malawi, Moldova, Myanmar, Nepal, Palestine, Senegal, Sudan, Tanzania, Uganda, Ukraine, Uzbekistan, Zambia, Zimbabwe",EIFL,15,2021-01-01T00:00:00Z,2024-12-31T00:00:00Z,acm2021eifl,https://esac-initiative.org/about/transformative-agreements/agreement-registry/acm2021eifl/
Company of Biologists,"Albania, Armenia, Azerbaijan, Congo, Ethiopia, Fiji, Georgia, Ivory Coast, Kenya, Kosovo, Kyrgyzstan, Laos, Lesotho, North Macedonia, Malawi, Maldives, Moldova, Myanmar, Namibia, Nepal, Palestine, Senegal, Sudan, Tanzania, Uganda, Ukraine, Uzbekistan, Zambia, Zimbabwe",EIFL,5,2021-04-23T00:00:00Z,2023-12-31T00:00:00Z,compbio2021eifl,https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2021eifl/
Company of Biologists,"Albania, Armenia, Azerbaijan, Congo, Côte d'Ivoire, Ethiopia, Fiji, Georgia, Ghana, Kenya, Kosovo, Kyrgyzstan, Laos, Lesotho, Malawi, Maldives, Moldova, Myanmar, Namibia, Palestine, Nepal, North Macedonia, Ukraine, Senegal, Sudan, Uganda, Tanzania, Uzbekistan, Zambia, Zimbabwe",EIFL,1,2024-01-01T00:00:00Z,2026-12-31T00:00:00Z,compbio2024eifl,https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2024eifl/
European Respiratory Society,"Albania, Armenia, Azerbaijan, Belarus, Botswana, Congo, Ethiopia, Fiji, Georgia, Ghana, Ivory Coast, Kenya, Kosovo, Kyrgyzstan, Laos, Lesotho, North Macedonia, Malawi, Maldives, Moldova, Myanmar, Namibia, Nepal, Palestine, Senegal, Serbia, Sudan, Tanzania, Uganda, Ukraine, Uzbekistan, Zambia, Zimbabwe",EIFL,1,2021-01-01T00:00:00Z,2023-12-31T00:00:00Z,ers2021eifl,https://esac-initiative.org/about/transformative-agreements/agreement-registry/ers2021eifl/
European Respiratory Society,"Albania, Armenia, Azerbaijan, Botswana, Congo, Côte d'Ivoire, Ethiopia, Fiji, Georgia, Ghana, Kenya, Kosovo, Kyrgyzstan, Laos, Lesotho, Malawi, Maldives, Moldova, Myanmar, Namibia, Nepal, North Macedonia, Palestine, Senegal, Serbia, Sudan, Tanzania, Uganda, Ukraine, Uzbekistan, Zambia, Zimbabwe",EIFL,1,2024-01-01T00:00:00Z,2026-12-31T00:00:00Z,ers2024eifl,https://esac-initiative.org/about/transformative-agreements/agreement-registry/ers2024eifl/
IWA Publishing,"Albania, Armenia, Azerbaijan, Belarus, Congo, Ethiopia, Ghana, Ivory Coast, Kenya, Kosovo, Kyrgyzstan, Laos, Lesotho, North Macedonia, Malawi, Maldives, Moldova, Myanmar, Nepal, Senegal, Sudan, Tanzania, Uganda, Uzbekistan, Zambia, Zimbabwe",EIFL,39,2020-10-15T00:00:00Z,2023-12-31T00:00:00Z,iwa2020eifl,https://esac-initiative.org/about/transformative-agreements/agreement-registry/iwa2020eifl/
IWA Publishing,"Albania, Armenia, Azerbaijan, Congo (DR), Côte d'Ivoire, Ethiopia, Ghana, Kenya, Kosovo, Kyrgyzstan, Laos, Lesotho, Malawi, Maldives, Myanmar, Nepal, North Macedonia, Moldova, Senegal, Sudan, Uganda, Uzbekistan, Tanzania, Zambia, Zimbabwe",EIFL,456,2024-01-01T00:00:00Z,2026-12-31T00:00:00Z,iwa2024eifl,https://esac-initiative.org/about/transformative-agreements/agreement-registry/iwa2024eifl/
AIP Publishing,Australia,CAUL,238,2023-01-01T00:00:00Z,2025-12-31T00:00:00Z,aip2023caul,https://esac-initiative.org/about/transformative-agreements/agreement-registry/aip2023caul/
AIP Publishing,Australia,CSIRO,2,2023-01-01T00:00:00Z,2023-01-01T00:00:00Z,aip2023csiro,https://esac-initiative.org/about/transformative-agreements/agreement-registry/aip2023csiro/
American Chemical Society,Australia,CSIRO,30,2021-01-07T00:00:00Z,2024-12-31T00:00:00Z,acs2021csiro,https://esac-initiative.org/about/transformative-agreements/agreement-registry/acs2021csiro/
Brill,Australia,CAUL,167,2022-01-01T00:00:00Z,2022-12-31T00:00:00Z,brill2022caul,https://esac-initiative.org/about/transformative-agreements/agreement-registry/brill2022caul/
Brill,Australia,CAUL,205,2023-01-01T00:00:00Z,2023-12-31T00:00:00Z,brill2023caul,https://esac-initiative.org/about/transformative-agreements/agreement-registry/brill2023caul/
Cambridge University Press,Australia,CAUL,1000,2022-01-01T00:00:00Z,2022-12-31T00:00:00Z,cam2022caul,https://esac-initiative.org/about/transformative-agreements/agreement-registry/cam2022caul/
Cambridge University Press,Australia,CAUL,800,2023-01-01T00:00:00Z,2023-12-31T00:00:00Z,cam2023caul,https://esac-initiative.org/about/transformative-agreements/agreement-registry/cam2023caul/
CSIRO,Australia,CAUL,625,2021-01-01T00:00:00Z,2021-12-31T00:00:00Z,csiro2021caul,https://esac-initiative.org/about/transformative-agreements/agreement-registry/csiro2021caul/
CSIRO,Australia,CAUL,180,2022-01-01T00:00:00Z,2024-12-31T00:00:00Z,csiro2022caul,https://esac-initiative.org/about/transformative-agreements/agreement-registry/csiro2022caul/
Elsevier,Australia,CAUL,13002,2023-01-01T00:00:00Z,2025-12-31T00:00:00Z,els2023caul,https://esac-initiative.org/about/transformative-agreements/agreement-registry/els2023caul/
Elsevier,Australia,CSIRO,200,2021-01-01T00:00:00Z,2023-12-31T00:00:00Z,els2021csiro,https://esac-initiative.org/about/transformative-agreements/agreement-registry/els2021csiro/
Future Science Group,Australia,CAUL,50,2021-01-01T00:00:00Z,2022-12-31T00:00:00Z,fsg2021caul,https://esac-initiative.org/about/transformative-agreements/agreement-registry/fsg2021caul/
