journal_name,issn_print,issn_online,first_seen,last_seen,esac_id
ACM / IMS Journal of Data Science,NA,2691-1922,2025-07-06,NA,acm2023nerl
ACM Computing Surveys,0360-0300,1557-7341,2025-07-06,NA,acm2023nerl
ACM Journal on Autonomous Transportation Systems,NA,2833-0528,2025-07-06,NA,acm2023nerl
ACM Journal on Computing and Sustainable Societies,NA,2834-5533,2025-07-06,NA,acm2023nerl
ACM Journal on Emerging Technologies in Computing Systems,NA,1550-4840,2025-07-06,NA,acm2023nerl
ACM Journal on Responsible Computing,NA,2832-0565,2025-07-06,NA,acm2023nerl
ACM Transactions on Accessible Computing,1936-7228,1936-7236,2025-07-06,NA,acm2023nerl
ACM Transactions on AI for Science,NA,3066-4438,2025-07-06,NA,acm2023nerl
ACM Transactions on Algorithms,1549-6325,1549-6333,2025-07-06,NA,acm2023nerl
ACM Transactions on Applied Perception,1544-3558,1544-3965,2025-07-06,NA,acm2023nerl
ACM Transactions on Architecture and Code Optimization,1544-3566,1544-3973,2025-07-06,NA,acm2023nerl
ACM Transactions on Asian and Low-Resource Language Information Processing,2375-4699,2375-4702,2025-07-06,NA,acm2023nerl
ACM Transactions on Autonomous and Adaptive Systems,NA,1556-4703,2025-07-06,NA,acm2023nerl
ACM Transactions on Computation Theory,1942-3454,1942-3462,2025-07-06,NA,acm2023nerl
ACM Transactions on Computational Logic,1529-3785,1557-945X,2025-07-06,NA,acm2023nerl
ACM Transactions on Computer Systems,0734-2071,1557-7333,2025-07-06,NA,acm2023nerl
ACM Transactions on Computer-Human Interaction,1073-0516,1557-7325,2025-07-06,NA,acm2023nerl
ACM Transactions on Computing Education,NA,1946-6226,2025-07-06,NA,acm2023nerl
ACM Transactions on Computing for Healthcare,NA,2637-8051,2025-07-06,NA,acm2023nerl
ACM Transactions on Cyber-Physical Systems,2378-962X,2378-9638,2025-07-06,NA,acm2023nerl
ACM Transactions on Database Systems,0362-5915,1557-4644,2025-07-06,NA,acm2023nerl
ACM Transactions on Design Automation of Electronic Systems,1084-4309,1557-7309,2025-07-06,NA,acm2023nerl
ACM Transactions on Economics and Computation,2167-8375,2167-8383,2025-07-06,NA,acm2023nerl
ACM Transactions on Embedded Computing Systems,1539-9087,1558-3465,2025-07-06,NA,acm2023nerl
ACM Transactions on Evolutionary Learning and Optimization,2688-299X,2688-3007,2025-07-06,NA,acm2023nerl
ACM Transactions on Graphics,0730-0301,1557-7368,2025-07-06,NA,acm2023nerl
ACM Transactions on Human-Robot Interaction,2691-1914,2573-9522,2025-07-06,NA,acm2023nerl
ACM Transactions on Information Systems,1046-8188,1558-2868,2025-07-06,NA,acm2023nerl
ACM Transactions on Intelligent Systems and Technology,2157-6904,2157-6912,2025-07-06,NA,acm2023nerl
ACM Transactions on Interactive Intelligent Systems,2160-6455,2160-6463,2025-07-06,NA,acm2023nerl
ACM Transactions on Internet of Things,2691-1914,2577-6207,2025-07-06,NA,acm2023nerl
ACM Transactions on Internet Technology,1533-5399,1557-6051,2025-07-06,NA,acm2023nerl
ACM Transactions on Knowledge Discovery from Data,1556-4681,1556-472X,2025-07-06,NA,acm2023nerl
ACM Transactions on Management Information Systems,2158-656X,2158-6578,2025-07-06,NA,acm2023nerl
ACM Transactions on Mathematical Software,0098-3500,1557-7295,2025-07-06,NA,acm2023nerl
ACM Transactions on Modeling and Computer Simulation,1049-3301,1558-1195,2025-07-06,NA,acm2023nerl
ACM Transactions on Modeling and Performance Evaluation of Computing Systems,2376-3639,2376-3647,2025-07-06,NA,acm2023nerl
"ACM Transactions on Multimedia Computing, Communications, and Applications",1551-6857,1551-6865,2025-07-06,NA,acm2023nerl
ACM Transactions on Parallel Computing,2329-4949,2329-4957,2025-07-06,NA,acm2023nerl
ACM Transactions on Privacy and Security,2471-2566,2471-2574,2025-07-06,NA,acm2023nerl
ACM Transactions on Probabilistic Machine Learning,NA,2836-8924,2025-07-06,NA,acm2023nerl
ACM Transactions on Programming Languages and Systems,0164-0925,1558-4593,2025-07-06,NA,acm2023nerl
ACM Transactions on Quantum Computing,2643-6809,2643-6817,2025-07-06,NA,acm2023nerl
ACM Transactions on Recommender Systems,NA,2770-6699,2025-07-06,NA,acm2023nerl
ACM Transactions on Reconfigurable Technology and Systems,1936-7406,1936-7414,2025-07-06,NA,acm2023nerl
ACM Transactions on Sensor Networks,1550-4859,1550-4867,2025-07-06,NA,acm2023nerl
ACM Transactions on Social Computing,2469-7818,2469-7826,2025-07-06,NA,acm2023nerl
ACM Transactions on Software Engineering and Methodology,1049-331X,1557-7392,2025-07-06,NA,acm2023nerl
ACM Transactions on Spatial Algorithms and Systems,2374-0353,2374-0361,2025-07-06,NA,acm2023nerl
ACM Transactions on Storage,1553-3077,1553-3093,2025-07-06,NA,acm2023nerl
ACM Transactions on the Web,1559-1131,1559-114X,2025-07-06,NA,acm2023nerl
Collective Intelligence,NA,2633-9137,2025-07-06,NA,acm2023nerl
Digital Government: Research and Practice,2691-199X,2639-0175,2025-07-06,NA,acm2023nerl
Digital Threats: Research and Practice,2692-1626,2576-5337,2025-07-06,NA,acm2023nerl
Distributed Ledger Technologies: Research and Practice,2769-6472,2769-6480,2025-07-06,NA,acm2023nerl
Formal Aspects of Computing,0934-5043,1433-299X,2025-07-06,NA,acm2023nerl
Games: Research and Practice,NA,2832-5516,2025-07-06,NA,acm2023nerl
Journal of the ACM,NA,1557-735X,2025-07-06,NA,acm2023nerl
Journal on Computing and Cultural Heritage,1556-4673,1556-4711,2025-07-06,NA,acm2023nerl
Journal of Data and Information Quality,1936-1955,1936-1963,2025-07-06,NA,acm2023nerl
Proceedings of the ACM on Computer Graphics and Interactive Techniques,NA,2577-6193,2025-07-06,NA,acm2023nerl
Proceedings of the ACM on Human-Computer Interaction,NA,2573-0142,2025-07-06,NA,acm2023nerl
"Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies",NA,2474-9567,2025-07-06,NA,acm2023nerl
Proceedings of the ACM on Management of Data,NA,2836-6573,2025-07-06,NA,acm2023nerl
